date,value
2025-01-02,72.2006638476
2025-01-03,72.2643744784
2025-01-06,72.2394234312
2025-01-07,72.0490352141
2025-01-08,72.4151200832
2025-01-09,72.4109928529
2025-01-10,72.5464887126
2025-01-13,72.3341410093
2025-01-14,71.69950466989998
2025-01-15,71.62128346780001
2025-01-16,71.6450173349
2025-01-17,71.2198192487
2025-01-20,70.8931455558
2025-01-21,71.1313973785
2025-01-22,70.5701507946
2025-01-23,70.7894649899
2025-01-24,71.4547731
2025-01-27,72.3365587534
2025-01-28,72.1045383865
2025-01-29,71.7074167178
2025-01-30,71.4086368305
2025-01-31,71.18039258120001
2025-02-03,71.45041465509999
2025-02-04,71.0815856995
2025-02-05,70.8483236892
2025-02-06,70.7966954694
2025-02-07,70.70596332300002
2025-02-10,70.7642057421
2025-02-11,71.2600133384
2025-02-12,71.4842054329
2025-02-13,71.29579102429999
2025-02-14,71.3526764122
2025-02-17,71.1733404923
2025-02-18,71.1345316437
2025-02-19,70.784328575
2025-02-20,70.90707899029998
2025-02-21,71.49585995129999
2025-02-24,71.49804557590001
2025-02-25,71.7900494453
2025-02-26,71.7172086635
2025-02-27,71.1866582971
2025-02-28,71.6534064805
2025-03-03,71.87779870460001
2025-03-04,72.3277479408
2025-03-05,72.9555671173
2025-03-06,73.0851137923
2025-03-07,73.2395089773
2025-03-10,73.4746558641
2025-03-11,74.0143351419
2025-03-12,73.74365674959999
2025-03-13,74.03040888
2025-03-17,74.4085220343
2025-03-18,74.56893946250001
2025-03-19,74.44254441
2025-03-20,74.2942618278
2025-03-21,74.78276253
2025-03-24,74.9248476704
2025-03-25,74.12989598440001
2025-03-26,74.0798587937
2025-03-27,74.1917432965
2025-03-28,74.40575602279999
2025-03-31,75.12888376100001
2025-04-01,74.7646805347
2025-04-02,74.7121593972
2025-04-03,75.41569629039999
2025-04-04,75.61883074490002
2025-04-07,76.3008697411
2025-04-08,76.0734485901
2025-04-09,77.2010452766
2025-04-10,76.3368232288
2025-04-11,76.3689780864
2025-04-14,75.8072821601
2025-04-15,75.79205716230001
2025-04-16,75.85195143909999
2025-04-17,75.9418379812
2025-04-21,76.4111655503
2025-04-22,76.84984185420001
2025-04-23,75.5627145793
2025-04-24,75.08945189149999
2025-04-25,74.2880849757
2025-04-28,74.6532776847
2025-04-29,74.6637222409
2025-04-30,75.030550007
2025-05-02,74.4195546075
2025-05-05,74.6270162686
2025-05-06,74.7233088891
2025-05-07,74.0978564073
2025-05-08,73.7013246068
2025-05-09,73.34090881440001
2025-05-12,72.5817761581
2025-05-13,73.2614435854
2025-05-14,73.2717511759
2025-05-15,72.7520091268
2025-05-16,72.99495565960001
2025-05-19,73.1835491998
2025-05-20,72.5601639371
2025-05-21,73.3560734312
2025-05-22,73.6743365735
2025-05-23,74.5163547053
2025-05-27,73.15466788650001
2025-05-28,73.19162136029999
2025-05-29,72.504577716
2025-05-30,72.7317637206
2025-06-03,73.01635156190001
2025-06-04,72.7658193003
2025-06-05,72.40597445579999
2025-06-06,72.6224071345
2025-06-09,72.2491112955
2025-06-10,72.468749615
2025-06-11,72.62236682790001
2025-06-12,74.4564159369
2025-06-13,74.87763967250001
2025-06-16,73.66991660459999
2025-06-17,72.9286465702
2025-06-18,72.6193004779
2025-06-19,72.2459426378
2025-06-20,72.3657763124
2025-06-23,72.0026151199
2025-06-24,70.93389587760001
2025-06-25,71.0340271724
2025-06-26,71.11319005220001
2025-06-27,70.9607753815
2025-06-30,70.5733214438
2025-07-01,70.70189989880002
2025-07-02,70.605377658
2025-07-03,70.4758091455
2025-07-04,69.9905335169
2025-07-07,69.7660043642
2025-07-08,70.1152898853
2025-07-09,69.49267928110001
2025-07-10,69.03802164369999
2025-07-11,69.5579917159
2025-07-14,70.1662163591
2025-07-15,69.6875936973
2025-07-16,69.75398699029998
2025-07-17,69.7207320913
2025-07-18,69.8059712973
2025-07-21,69.8441114883
2025-07-22,69.9166613078
2025-07-23,69.5524187539
2025-07-24,69.791508201
2025-07-25,70.0807438775
2025-07-28,69.7522076045
2025-07-29,69.7171334783
2025-07-30,69.69367624909998
2025-07-31,69.9020861189
2025-08-01,70.3160371683
2025-08-04,70.5173756521
2025-08-05,71.3402764722
2025-08-06,71.51303863349999
2025-08-07,71.0544375866
2025-08-08,71.4193784935
2025-08-11,70.94488465350001
2025-08-12,71.15438374
2025-08-13,70.6203805392
2025-08-14,70.4835824995
2025-08-15,70.2920176168
2025-08-18,70.5149895964
2025-08-19,70.30159554260001
2025-08-20,70.62010205329999
2025-08-21,70.9774234779
2025-08-22,70.587861524
2025-08-25,70.2718365982
2025-08-26,69.9725910116
2025-08-27,69.35664563020002
2025-08-28,69.1910446098
2025-08-29,69.3092220915
2025-09-01,69.8313674772
2025-09-02,70.24988571889999
2025-09-03,69.9598345481
2025-09-04,69.85031865499998
2025-09-05,69.45907374629999
