date,value,source
2026-07-06,56.08,investing
2026-07-07,56.57,investing
2026-07-08,58.4,investing
2026-07-09,58.57,investing
2026-07-10,58.24,investing
2026-07-13,59.4,investing
2026-07-14,59.73,investing
2026-07-15,60.9,investing
2026-07-16,62.57,investing
2026-07-17,62.99,investing
2026-07-20,65.39,investing
2026-07-21,65.4,investing
2026-07-22,65.56,investing
2026-07-23,66.31,investing
2026-07-24,65.97,investing
2026-07-27,64.24,investing
2026-07-28,63.07,investing
2026-07-29,63.56,investing
2026-07-30,63.22,investing
2026-07-31,64.15,investing
2026-08-03,61.74,manual
