date,value,source
2026-09-07,6.5127684513149005,onvista
2026-09-08,6.5161060589532,onvista
2026-09-09,6.504467798784,onvista
2026-09-10,6.5311546086671,onvista
2026-09-11,6.6146093413504,onvista
2026-09-14,6.626525062846699,onvista
2026-09-15,6.647033319607,onvista
2026-09-16,6.6470466508476,onvista
2026-09-17,6.6087246650746,onvista
2026-09-18,6.5530241785115,onvista
2026-09-21,6.5749009303740005,onvista
2026-09-22,6.5614388941255,onvista
2026-09-23,6.5304329325651995,onvista
2026-09-24,6.6301024401874,onvista
