date,value
2003-10-01,101.73999786376953
2003-11-01,101.72000122070312
2003-12-01,102.1500015258789
2004-01-01,102.5999984741211
2004-02-01,103.48999786376953
2004-03-01,103.94999694824219
2004-04-01,100.77999877929688
2004-05-01,100.12999725341797
2004-06-01,100.54000091552734
2004-07-01,101.1500015258789
2004-08-01,102.45999908447266
2004-09-01,102.66999816894531
2004-10-01,103.23999786376953
2004-11-01,102.19999694824219
2004-12-01,102.4000015258789
2005-01-01,102.9000015258789
2005-02-01,102.20999908447266
2005-03-01,100.93000030517578
2005-04-01,102.31999969482422
2005-05-01,102.83000183105469
2005-06-01,103.37999725341797
2005-07-01,101.9800033569336
2005-08-01,102.8499984741211
2005-09-01,101.55000305175781
2005-10-01,100.20999908447266
2005-11-01,100.22000122070312
2005-12-01,100.58999633789062
2006-01-01,100.52999877929688
2006-02-01,100.31999969482422
2006-03-01,99.08000183105469
2006-04-01,98.55000305175781
2006-05-01,97.9800033569336
2006-06-01,97.44000244140625
2006-07-01,98.4000015258789
2006-08-01,99.55000305175781
2006-09-01,100.16000366210938
2006-10-01,100.43000030517578
2006-11-01,101.06999969482422
2006-12-01,99.69999694824219
2007-01-01,99.62999725341797
2007-02-01,100.8499984741211
2007-03-01,100.26000213623047
2007-04-01,100.45999908447266
2007-05-01,99.16000366210938
2007-06-01,98.36000061035156
2007-07-01,98.98999786376953
2007-08-01,99.81999969482422
2007-09-01,100.0199966430664
2007-10-01,100.61000061035156
2007-11-01,102.0
2007-12-01,101.16999816894531
2008-01-01,103.51000213623047
2008-02-01,102.93000030517578
2008-03-01,102.68000030517578
2008-04-01,102.5999984741211
2008-05-01,100.9800033569336
2008-06-01,100.4000015258789
2008-07-01,100.41000366210938
2008-08-01,100.75
2008-09-01,98.58999633789062
2008-10-01,95.95999908447266
2008-11-01,98.44999694824219
2008-12-01,104.19999694824219
2009-01-01,102.12999725341797
2009-02-01,100.69000244140625
2009-03-01,101.47000122070312
2009-04-01,101.63999938964844
2009-05-01,102.02999877929688
2009-06-01,102.1500015258789
2009-07-01,103.0999984741211
2009-08-01,104.0199966430664
2009-09-01,104.91999816894531
2009-10-01,104.80999755859375
2009-11-01,105.83000183105469
2009-12-01,103.19000244140625
2010-01-01,104.6500015258789
2010-02-01,104.52999877929688
2010-03-01,104.19999694824219
2010-04-01,104.88999938964844
2010-05-01,105.70999908447266
2010-06-01,107.25
2010-07-01,107.8499984741211
2010-08-01,108.94000244140625
2010-09-01,108.6500015258789
2010-10-01,108.55000305175781
2010-11-01,107.37000274658203
2010-12-01,105.75
2011-01-01,105.66000366210938
2011-02-01,105.6500015258789
